section,chno,title,group,logo,url
AM RADIO STREAMS,17300,CHMJ 730,RADIO - AM,https://cdn.raddio.net/storage/photos/228995/plxn5adb34d6f3165293771443.png,https://corus-hls.leanstream.co/corus/CHMJAM.stream/playlist.m3u8
,19800,CKNW 980,RADIO - AM,https://cdn.raddio.net/storage/photos/19057/3ed2048358261572e61503057b5ccdb4.jpg,https://corus-hls.leanstream.co/corus/CKNWAM.stream/playlist.m3u8
,21300,NEWS 1130,RADIO - AM,https://cdn.raddio.net/storage/photos/296949/mz1o5adb6d3194751477196973.png,https://rogers.leanstream.co/rogers/van1130.stream/playlist.m3u8
,23200,CHMB 1320,RADIO - AM,https://cdn.raddio.net/storage/photos/346978/f03f10809355198e397be943380aebe6.png,http://stream.radiojar.com/nugqupcv8qzuv
,24700,Fairchild Radio,RADIO - AM,https://cdn.raddio.net/storage/photos/307508/eps85c2cc1dbe01fa160375934.png,http://icecast01.eseenet.com:8000/am1470
FM RADIO STREAMS,10909,ICI 90.9,RADIO - FM,https://cdn.raddio.net/storage/photos/30002/7e5b72602513bdcb7125cb2ea6c360f7.png,https://rcavliveaudio-tunein.akamaized.net/hls/live/2006996/M-7BVAN0_VAN/playlist.m3u8
,10931,REDFM 93.1,RADIO - FM,https://cdn.raddio.net/storage/photos/262011/b48408d716a5f6a05db0f7812041eb81.png,https://ice10.securenetsystems.net/CKYE?playSessionID=14203CC6-A632-4705-F078C1265A306ADA
,10945,CFBT 94.5,RADIO - FM,https://cdn.raddio.net/storage/photos/9580/t4ge5c2549c38ec12908153742.png,https://14103.live.streamtheworld.com:443/CFBTFM_ADP/HLS/playlist.m3u8
,10953,CKZZ 95.3,RADIO - FM,https://cdn.raddio.net/storage/photos/276612/d8efe5ced14e8f1cad4f6fe79055af18.png,https://newcap-hls.leanstream.co/newcap/CKZZFM.stream/playlist.m3u8
,10961,Fairchild Radio,RADIO - FM,https://cdn.raddio.net/storage/photos/237720/t7az5adb36ae18705855072402.png,http://icecast01.eseenet.com:8000/fm961
,10969,JACK 96.9,RADIO - FM,https://cdn.raddio.net/storage/photos/350255/7ef9e6b3a81d9f16773640d3a104f8ca.png,https://rogers-hls.leanstream.co/rogers/van969.stream/playlist.m3u8
,10993,CFOX 99.3,RADIO - FM,https://cdn.raddio.net/storage/photos/232212/26a5b53ab49240a085dcb4b50dc5a371.jpg,https://corus-hls.leanstream.co/corus/CFOXFM.stream/playlist.m3u8
,11005,Vancouver Co-operative Radio,RADIO - FM,https://cdn.raddio.net/storage/photos/18957/8f21b5494801672bb47a8bf575d59227.png,https://listen-coopradio.sharp-stream.com/coopradio.mp3
,11011,CFMI 101.1,RADIO - FM,https://cdn.raddio.net/storage/photos/345527/9afe8162973ffc5212e8068c434ed9a6.jpg,https://corus-hls.leanstream.co/corus/CFMIFM.stream/playlist.m3u8
,11019,CITR 101.9,RADIO - FM,https://cdn.raddio.net/storage/photos/14535/b65e646adb4e8e3f1b3645fb5314e0c1.png,https://live.citr.ca/live.aac
,11027,102.7 The Peak,RADIO - FM,https://cdn.raddio.net/storage/photos/350235/d2aa49ab48bdaafdc9473dc4640bd300.png,https://redirect.jpbgdigital.com/CKPK?player_type=tunein
,11035,CHQM 103.5,RADIO - FM,https://cdn.raddio.net/storage/photos/18977/0ef79e3c2ca9d85e5f38282d01452083.jpg,https://18503.live.streamtheworld.com:443/CHQMFM_ADP/HLS/playlist.m3u8
,11043,CHLG 104.3,RADIO - FM,https://cdn.raddio.net/storage/photos/284309/af1f165eb108a341901efd0186519945.png,https://newcap-hls.leanstream.co/newcap/CHLGFM.stream/playlist.m3u8
,11049,CKKS 104.9,RADIO - FM,https://cdn.raddio.net/storage/photos/366261/9be285c52a4769c800856768ac8a3e37.png,https://rogers.leanstream.co/rogers/van1049.stream/playlist.m3u8
OTHER STREAMS,,XL Gurbani Kirtan 24/7 | Canada,RADIO,https://cdn.raddio.net/storage/photos/276268/gu6h5adb6909510ed892336327.png,http://rosetta.shoutca.st:8554/;
,,Ritmo X99,RADIO,https://cdn.raddio.net/storage/photos/379513/941cfe9c732f238de65066f54a11e56c.png,https://listen.ritmo.torontocast.stream
,,A Vancouver Radio Station,RADIO,https://cdn.raddio.net/storage/photos/306518/mg0o5c10d7f1e47a5946933613.png,https://streamingv2.shoutcast.com/AVancouverRadioStation
,,Radio World Today,RADIO,https://cdn.raddio.net/storage/photos/380606/71c4b600ce96f72c95078b45dce8642e.jpg,https://a2.asurahosting.com:6660/radio.mp3
,,Writers Radio,RADIO,https://cdn.raddio.net/storage/photos/373491/b8a705e8fa2d850c459dba96327fd4b7.png,https://stream.radiojar.com/kequvye1hd0uv
,,La Bonita X101,RADIO,https://cdn.raddio.net/storage/photos/378758/d314ea3e0fcc570e7cbd0a9ef204e6c0.png,https://listen.labonita.torontocast.stream
